month;noticias_suicidio;media_sentimiento_noticias;sentiment_analysis_score;mes;descrip;suicidios;Menores_de_15_anos;De_15_a_29_anos;De_30_a_39_anos;De_40_a_44_anos;De_45_a_49_anos;De_50_a_54_anos;De_55_a_59_anos;De_60_a_64_anos;De_65_a_69_anos;De_70_a_74_anos;De_75_a_79_anos;De_80_a_84_anos;De_85_a_89_anos;De_90_a_94_anos;De_95_anos_y_mns;Unnamed:_18
2013-02-01;212;-0.013396226415094333;-14.20754716981132;2013-02-01;Ambos sexos;289.0;0.0;31.0;34.0;38.0;29.0;30.0;16.0;26.0;19.0;16.0;14.0;21.0;14.0;1.0;0.0;
2013-03-01;185;-0.011837837837837838;-11.032432432432433;2013-03-01;Ambos sexos;359.0;0.0;23.0;49.0;35.0;45.0;38.0;30.0;32.0;20.0;24.0;26.0;21.0;12.0;2.0;2.0;
2013-04-01;200;-0.014799999999999995;-17.75;2013-04-01;Ambos sexos;324.0;2.0;27.0;46.0;31.0;36.0;42.0;32.0;26.0;20.0;17.0;21.0;15.0;7.0;2.0;0.0;
2013-05-01;214;-0.012616822429906544;-11.397196261682243;2013-05-01;Ambos sexos;335.0;0.0;19.0;43.0;36.0;41.0;38.0;31.0;19.0;29.0;24.0;17.0;23.0;11.0;3.0;1.0;
2013-06-01;219;-0.012694063926940644;-9.529680365296803;2013-06-01;Ambos sexos;363.0;1.0;31.0;45.0;31.0;31.0;42.0;31.0;28.0;20.0;22.0;31.0;24.0;18.0;6.0;2.0;
2013-07-01;138;-0.010362318840579716;-11.644927536231885;2013-07-01;Ambos sexos;357.0;0.0;26.0;46.0;40.0;41.0;39.0;26.0;29.0;25.0;17.0;22.0;27.0;8.0;9.0;2.0;
2013-08-01;150;-0.010800000000000006;-15.613333333333333;2013-08-01;Ambos sexos;308.0;2.0;19.0;52.0;27.0;29.0;39.0;24.0;17.0;21.0;17.0;22.0;24.0;11.0;4.0;0.0;
2013-09-01;172;-0.009593023255813958;-12.284883720930232;2013-09-01;Ambos sexos;345.0;1.0;31.0;51.0;36.0;36.0;35.0;27.0;26.0;20.0;25.0;21.0;20.0;12.0;3.0;1.0;
2013-10-01;157;-0.011592356687898096;-11.363057324840764;2013-10-01;Ambos sexos;301.0;0.0;27.0;40.0;21.0;25.0;46.0;25.0;14.0;19.0;22.0;22.0;19.0;15.0;5.0;1.0;
2013-11-01;111;-0.006306306306306308;-9.198198198198199;2013-11-01;Ambos sexos;259.0;1.0;19.0;30.0;26.0;31.0;31.0;23.0;11.0;17.0;16.0;21.0;20.0;11.0;2.0;0.0;
2013-12-01;122;-0.01057377049180328;-10.049180327868852;2013-12-01;Ambos sexos;286.0;0.0;25.0;37.0;28.0;27.0;34.0;30.0;15.0;21.0;19.0;14.0;23.0;6.0;6.0;1.0;
2014-01-01;141;-0.013829787234042561;-16.43971631205674;2014-01-01;Ambos sexos;339.0;2.0;32.0;45.0;24.0;34.0;38.0;27.0;25.0;25.0;16.0;23.0;28.0;12.0;6.0;2.0;
2014-02-01;181;-0.01055248618784531;-13.425414364640885;2014-02-01;Ambos sexos;293.0;0.0;24.0;47.0;28.0;34.0;28.0;34.0;11.0;26.0;9.0;14.0;22.0;13.0;3.0;0.0;
2014-03-01;218;-0.012752293577981643;-15.224770642201834;2014-03-01;Ambos sexos;318.0;1.0;32.0;39.0;29.0;40.0;39.0;30.0;19.0;17.0;13.0;23.0;15.0;16.0;5.0;0.0;
2014-04-01;155;-0.01225806451612904;-13.587096774193549;2014-04-01;Ambos sexos;338.0;3.0;30.0;40.0;27.0;33.0;30.0;20.0;32.0;27.0;27.0;17.0;22.0;19.0;10.0;1.0;
2014-05-01;192;-0.014218749999999995;-18.786458333333332;2014-05-01;Ambos sexos;331.0;1.0;25.0;46.0;33.0;38.0;36.0;27.0;17.0;23.0;19.0;24.0;19.0;17.0;5.0;1.0;
2014-06-01;183;-0.009890710382513667;-12.53551912568306;2014-06-01;Ambos sexos;371.0;1.0;28.0;54.0;43.0;42.0;38.0;27.0;26.0;32.0;18.0;24.0;16.0;18.0;4.0;0.0;
2014-07-01;160;-0.007437500000000002;-5.55625;2014-07-01;Ambos sexos;342.0;1.0;25.0;30.0;34.0;41.0;49.0;29.0;26.0;19.0;22.0;27.0;16.0;14.0;9.0;0.0;
2014-08-01;219;-0.017168949771689486;-17.264840182648403;2014-08-01;Ambos sexos;354.0;0.0;28.0;43.0;32.0;47.0;49.0;28.0;23.0;19.0;21.0;18.0;18.0;21.0;5.0;2.0;
2014-09-01;170;-0.015176470588235286;-14.047058823529412;2014-09-01;Ambos sexos;334.0;0.0;31.0;41.0;34.0;40.0;42.0;17.0;21.0;17.0;19.0;20.0;29.0;17.0;6.0;0.0;
